epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.9838,3.19302,3.51191,3.59503,0.85249,0.31385,0.35925,0.16083,1.85223,2.82342,2.17204,0.00332818,0.00332818,0.00332818
2,134.456,2.12133,1.98089,2.23795,0.8876,0.34486,0.39258,0.22105,1.49074,2.20762,1.653,0.00662854,0.00662854,0.00662854
3,195.432,1.8881,1.67105,1.93119,0.88474,0.35374,0.41141,0.19151,1.66293,1.91919,1.69642,0.0098959,0.0098959,0.0098959
4,256.526,1.77588,1.48591,1.81105,0.91229,0.41041,0.47836,0.23461,1.65283,1.4338,1.62371,0.0098515,0.0098515,0.0098515
5,317.412,1.70819,1.37672,1.73595,0.92388,0.3906,0.47078,0.24067,1.64093,1.31113,1.5793,0.009802,0.009802,0.009802
6,378.587,1.65987,1.28877,1.69135,0.48216,0.5206,0.5604,0.30476,1.5935,1.25157,1.52332,0.0097525,0.0097525,0.0097525
7,439.075,1.61678,1.23214,1.65576,0.50047,0.59537,0.59647,0.33278,1.43374,1.18303,1.43571,0.009703,0.009703,0.009703
8,500.757,1.58016,1.1837,1.62542,0.47046,0.55985,0.55264,0.33979,1.33636,0.94615,1.40247,0.0096535,0.0096535,0.0096535
9,561.571,1.54359,1.15822,1.59991,0.46321,0.724,0.60059,0.33932,1.47708,0.84154,1.47059,0.009604,0.009604,0.009604
10,622.737,1.51263,1.10288,1.56656,0.60284,0.57388,0.59394,0.34073,1.41516,1.16867,1.41306,0.0095545,0.0095545,0.0095545
11,682.737,1.49127,1.09323,1.54892,0.50211,0.54582,0.60847,0.38033,1.31908,1.0172,1.34903,0.009505,0.009505,0.009505
12,744.078,1.46907,1.06783,1.53383,0.58342,0.62209,0.63519,0.39026,1.2904,0.92967,1.34102,0.0094555,0.0094555,0.0094555
13,804.763,1.45536,1.05044,1.51845,0.45431,0.63278,0.61304,0.40758,1.18373,0.78639,1.26467,0.009406,0.009406,0.009406
14,865.955,1.43091,1.01905,1.50169,0.52788,0.71254,0.64195,0.42833,1.14747,1.04611,1.24427,0.0093565,0.0093565,0.0093565
15,927.325,1.42705,1.0194,1.49811,0.61745,0.72433,0.66228,0.44236,1.10789,0.7388,1.21152,0.009307,0.009307,0.009307
16,988.635,1.41994,1.01208,1.48971,0.64267,0.61403,0.70261,0.44289,1.16961,0.81679,1.25395,0.0092575,0.0092575,0.0092575
17,1049.94,1.39761,0.99372,1.47843,0.64566,0.65478,0.69035,0.4722,1.11163,0.80018,1.21756,0.009208,0.009208,0.009208
18,1111.33,1.39288,0.97796,1.4707,0.7241,0.59594,0.65698,0.44232,1.13442,0.66355,1.23259,0.0091585,0.0091585,0.0091585
19,1172.51,1.38497,0.97319,1.46873,0.56227,0.63884,0.63543,0.4291,1.1439,1.17184,1.23878,0.009109,0.009109,0.009109
20,1232.76,1.38116,0.96728,1.45602,0.67735,0.71342,0.72705,0.49584,1.08509,0.74885,1.19391,0.0090595,0.0090595,0.0090595
21,1293.2,1.36238,0.94883,1.44566,0.646,0.71104,0.68717,0.46094,1.05386,0.59994,1.17453,0.00901,0.00901,0.00901
22,1353.86,1.36302,0.94474,1.44604,0.64621,0.75179,0.69554,0.46865,1.07448,0.80715,1.17225,0.0089605,0.0089605,0.0089605
23,1414.57,1.35293,0.93891,1.43293,0.73374,0.67179,0.71153,0.49302,1.00923,0.58197,1.14265,0.008911,0.008911,0.008911
24,1475.37,1.34593,0.9291,1.42841,0.70169,0.64955,0.67508,0.48734,0.97611,0.78291,1.12591,0.0088615,0.0088615,0.0088615
25,1536.32,1.33375,0.91962,1.41861,0.61101,0.77599,0.73601,0.51989,1.03882,0.686,1.16005,0.008812,0.008812,0.008812
26,1597.57,1.33844,0.91409,1.42142,0.6086,0.7439,0.68186,0.48933,1.01843,0.52458,1.13376,0.0087625,0.0087625,0.0087625
27,1658.75,1.32789,0.9093,1.41726,0.67385,0.68433,0.70531,0.49709,1.03906,0.55093,1.14229,0.008713,0.008713,0.008713
28,1719.65,1.33295,0.90851,1.41124,0.67849,0.75552,0.78298,0.55161,0.99084,0.53353,1.1169,0.0086635,0.0086635,0.0086635
29,1781.07,1.32497,0.90785,1.41218,0.79465,0.7303,0.76708,0.55384,1.01974,0.52428,1.12421,0.008614,0.008614,0.008614
30,1841.93,1.31224,0.8942,1.39918,0.68834,0.75381,0.72478,0.51717,0.99425,0.75906,1.12057,0.0085645,0.0085645,0.0085645
31,1903.3,1.31002,0.89365,1.39392,0.81451,0.72204,0.7616,0.55056,0.9564,0.52336,1.09551,0.008515,0.008515,0.008515
32,1964.92,1.31177,0.89028,1.39365,0.69908,0.75179,0.74058,0.52323,1.05991,0.54666,1.14453,0.0084655,0.0084655,0.0084655
33,2025.92,1.30685,0.89088,1.39042,0.65742,0.7086,0.70599,0.51049,1.00625,0.56906,1.12141,0.008416,0.008416,0.008416
34,2086.87,1.30426,0.88856,1.3852,0.72341,0.75254,0.76934,0.54738,0.95738,0.60983,1.09909,0.0083665,0.0083665,0.0083665
